entry_type,canonical_term,alias,domain,source_system,note
field_alias,address.id,EINA.MAHN3,,SAP,"context_patch=true; system=SAP; object=EINA; field=MAHN3; field_description=Number of Days for Third Reminder/Expediter; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=UNKNOWN, data_element=MAHN3, domain=MAHNT"
field_alias,order_unit.code,EINA.VABME,,SAP,"context_patch=true; system=SAP; object=EINA; field=VABME; field_description=Variable Purchase Order Unit Active; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=UNKNOWN, data_element=VABME, domain=VABME"
field_alias,production_order.quantity,EINE.NORBM,,SAP,"context_patch=true; system=SAP; object=EINE; field=NORBM; field_description=Standard Purchase Order Quantity; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=UNKNOWN, data_element=NORBM, domain=MENG13"
field_alias,material.number,EINE.ANFPS,,SAP,"context_patch=true; system=SAP; object=EINE; field=ANFPS; field_description=Item Number of RFQ; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=UNKNOWN, data_element=ANFPS, domain=EBELP"
field_alias,invoice.amount,EINE.AMOBW,,SAP,"context_patch=true; system=SAP; object=EINE; field=AMOBW; field_description=Amortized planned value; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=UNKNOWN, data_element=AMOBW, domain=WERT15"
field_alias,invoice.amount,EINE.AMOAW,,SAP,"context_patch=true; system=SAP; object=EINE; field=AMOAW; field_description=Amortized actual value; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=UNKNOWN, data_element=AMOAW, domain=WERT15"
field_alias,document.type,EINE.BSTYP,,SAP,"context_patch=true; system=SAP; object=EINE; field=BSTYP; field_description=Purchasing Document Category; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=UNKNOWN, data_element=BSTYP, domain=BSTYP"
field_alias,purchase_order.document_date,EINE.DATLB,,SAP,"context_patch=true; system=SAP; object=EINE; field=DATLB; field_description=Date of Last PO or Sched. Agreement Document in Info Record; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=UNKNOWN, data_element=DATLB, domain=DATUM"
field_alias,invoice.amount,EINE.PRDAT,,SAP,"context_patch=true; system=SAP; object=EINE; field=PRDAT; field_description=Price Valid Until; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=UNKNOWN, data_element=PRGBI, domain=DATUM"
field_alias,vendor_group.id,EINE.EKKOL,,SAP,"context_patch=true; system=SAP; object=EINE; field=EKKOL; field_description=Condition Group with Supplier; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=UNKNOWN, data_element=EKKOG, domain=CHAR4"
