entry_type,canonical_term,alias,domain,source_system,note
vendor_context_link,sap_desc_a04f7795,MM_MARA_PRZUS,XFELD,SAP,auto-map via desc: Indicator: Product composition printed on packagin
vendor_context_link,sap_desc_957636ba,MM_MARA_BFLME,BFLME,SAP,auto-map via desc: Generic Material with Logistical Variants
vendor_context_link,sap_desc_cd811a11,MM_MARA_CMREL,DO_CM_RELEVANCE_FLAG,SAP,auto-map via desc: Relevant for Configuration Management
vendor_context_link,sap_desc_354c5960,MM_MARA_BBTYP,BBTYP,SAP,auto-map via desc: Assortment List Type
vendor_context_link,sap_desc_70e8107f,MM_MARA_GDS_RELEVANT,XFELD,SAP,auto-map via desc: Indicator: Global Data Synchronization-Relevant
vendor_context_link,sap_desc_d3114cb0,MM_MARA_WEORA,XFELD,SAP,auto-map via desc: Acceptance At Origin
vendor_context_link,sap_desc_b9b3deec,MM_MARA_HUTYP_DFLT,CHAR4,SAP,auto-map via desc: Standard HU Type
vendor_context_link,sap_desc_0baaecf0,MM_MARA_PILFERABLE,XFELD,SAP,auto-map via desc: Pilferable
vendor_context_link,sap_desc_52f59a28,MM_MARA_WHSTC,CHAR2,SAP,auto-map via desc: Warehouse Storage Condition
vendor_context_link,sap_desc_1bf8dc53,MM_MARA_HNDLCODE,CHAR4,SAP,auto-map via desc: Handling Indicator
vendor_context_link,sap_desc_e584b76a,MM_MARA_TARE_VAR,XFELD,SAP,auto-map via desc: Variable Tare Weight
vendor_context_link,sap_desc_8d529973,MM_MARA_MAXC,DECV15_3,SAP,auto-map via desc: Maximum Allowed Capacity of Packaging Material
vendor_context_link,sap_desc_e7937b97,MM_MARA_MAXL,CIFQUAN15,SAP,auto-map via desc: Maximum Packing Length of Packaging Material
vendor_context_link,sap_desc_99ffd2c6,MM_MARA_MAXB,CIFQUAN15,SAP,auto-map via desc: Maximum Packing Width of Packaging Material
vendor_context_link,sap_desc_a48ff3da,MM_MARA_MAXH,CIFQUAN15,SAP,auto-map via desc: Maximum Packing Height of Packaging Material
vendor_context_link,sap_desc_7d0495a3,MM_MARA_QQTIME,unknown,SAP,auto-map via desc: Quarantine Period
vendor_context_link,sap_desc_c2a8d355,MM_MARA_QQTIMEUOM,MEINS,SAP,auto-map via desc: Time Unit for Quarantine Period
vendor_context_link,sap_desc_46af8513,MM_MARA_QGRP,CIFQGRP,SAP,auto-map via desc: Quality Inspection Group
vendor_context_link,sap_desc_7131bdf0,MM_MARA_PS_SMARTFORM,TDSFNAME,SAP,auto-map via desc: Form Name
vendor_context_link,sap_desc_bd45969f,MM_MARA_CWQPROC,CIFCWQPROC,SAP,auto-map via desc: EWM CW: Catch Weight Profile for Entering CW Quant
vendor_context_link,sap_desc_e2274c86,MM_MARA_CWQTOLGR,CIFCWQTOLGR,SAP,auto-map via desc: Catch Weight Tolerance Group
vendor_context_link,sap_desc_cb7f389e,MM_MARA_ADPROF,/SCWM/DO_MEDI_APROF,SAP,auto-map via desc: Adjustment Profile
vendor_context_link,sap_desc_02d27077,MM_MARA_COMMODITY,TBA_STOEFFCHEN,SAP,auto-map via desc: Commodity
vendor_context_link,sap_desc_61a28870,MM_MARA_ANIMAL_ORIGIN,WRF_ANIMAL_ORIGIN_FLAG,SAP,auto-map via desc: Indicator: Contains Non-Textile Parts of Animal Or
