sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,classification_bucket,knowledge_available,knowledge_tag_level,knowledge_tag_reason,knowledge_tag_note
MM,MARA,LAEDA,Date of Last Change,LAEDA,DATUM,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DATUM; data_element=LAEDA; description=Date of Last Change
MM,MARA,MBRSH,Industry Sector,MBRSH,MBRSH,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MBRSH; data_element=MBRSH; description=Industry Sector
MM,MARA,ZEIFO,Page format of document (without Document Management system),DZEIFO,DINFO,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DINFO; data_element=DZEIFO; description=Page format of document (without Document Management system)
MM,MARA,FERTH,Production/inspection memo,FERTH,FERTH,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=FERTH; data_element=FERTH; description=Production/inspection memo
MM,MARA,FORMT,Page Format of Production Memo,FORMT,DINFO,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DINFO; data_element=FORMT; description=Page Format of Production Memo
MM,MARA,WRKST,Basic Material,WRKST,WRKST,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=WRKST; data_element=WRKST; description=Basic Material
MM,MARA,NORMT,Industry Standard Description (such as ANSI or ISO),NORMT,NORMT,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=NORMT; data_element=NORMT; description=Industry Standard Description (such as ANSI or ISO)
MM,MARA,LABOR,Laboratory/design office,LABOR,LABOR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=LABOR; data_element=LABOR; description=Laboratory/design office
MM,MARA,BEHVO,Container requirements,BEHVO,BEHVO,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=BEHVO; data_element=BEHVO; description=Container requirements
MM,MARA,TEMPB,Temperature conditions indicator,TEMPB,TEMPB,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=TEMPB; data_element=TEMPB; description=Temperature conditions indicator
MM,MARA,DISST,Low-Level Code,DISST,DISST,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DISST; data_element=DISST; description=Low-Level Code
MM,MARA,BWVOR,Procurement rule,BWVOR,BWVOR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=BWVOR; data_element=BWVOR; description=Procurement rule
MM,MARA,BWSCL,Source of Supply,BWSCL,BQSCL,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=BQSCL; data_element=BWSCL; description=Source of Supply
MM,MARA,SAISO,Season Category,SAISO,SAISO,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=SAISO; data_element=SAISO; description=Season Category
MM,MARA,ETIAR,Label type,ETIAR,ETIAR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=ETIAR; data_element=ETIAR; description=Label type
MM,MARA,ETIFO,Label form,ETIFO,ETIFO,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=ETIFO; data_element=ETIFO; description=Label form
MM,MARA,ENTAR,Deactivated,DUMMYENTAR,CHAR1,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CHAR1; data_element=DUMMYENTAR; description=Deactivated
MM,MARA,MEABM,Unit of Dimension for Length/Width/Height,MEABM,MEINS,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MEINS; data_element=MEABM; description=Unit of Dimension for Length/Width/Height
MM,MARA,CADKZ,CAD Indicator,CADKZ,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=CADKZ; description=CAD Indicator
MM,MARA,ERGEW,Allowed packaging weight,ERGEW,MENG13,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MENG13; data_element=ERGEW; description=Allowed packaging weight
MM,MARA,ERVOL,Allowed packaging volume,ERVOL,MENG13,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MENG13; data_element=ERVOL; description=Allowed packaging volume
MM,MARA,FUELG,Maximum level (by volume),FUELG,DEC3,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DEC3; data_element=FUELG; description=Maximum level (by volume)
MM,MARA,STFAK,Stacking factor,STFAK,INT2,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=INT2; data_element=STFAK; description=Stacking factor
MM,MARA,LIQDT,Deletion date,LIQDT,DATUM,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DATUM; data_element=LIQDT; description=Deletion date
MM,MARA,SAISJ,Season Year,SAISJ,CJAHR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CJAHR; data_element=SAISJ; description=Season Year
MM,MARA,MLGUT,Empties Bill of Material,W_MITLEERG,FLAG,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=FLAG; data_element=W_MITLEERG; description=Empties Bill of Material
MM,MARA,ATTYP,Material Category,ATTYP,ATTYP,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=ATTYP; data_element=ATTYP; description=Material Category
MM,MARA,KZKUP,Co-Product,KZKUPMAT,FLAG,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=FLAG; data_element=KZKUPMAT; description=Co-Product
MM,MARA,KZNFM,Indicator: The material has a follow-up material,KZNFM,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=KZNFM; description=Indicator: The material has a follow-up material
MM,MARA,TAKLV,Tax classification of the material,TAKLV,TAXKM,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=TAXKM; data_element=TAKLV; description=Tax classification of the material
MM,MARA,RBNRM,Catalog Profile,RBNR,RBNR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=RBNR; data_element=RBNR; description=Catalog Profile
MM,MARA,MHDLP,Storage percentage,MHDLP,DEC3,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DEC3; data_element=MHDLP; description=Storage percentage
MM,MARA,INHME,Content unit,INHME,MEINS,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MEINS; data_element=INHME; description=Content unit
MM,MARA,INHAL,Net contents,INHAL,MENG13,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MENG13; data_element=INHAL; description=Net contents
MM,MARA,ETIAG,IS-R Labeling: material grouping (deactivated in 4.0),ETIAG,ETIAG,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=ETIAG; data_element=ETIAG; description=IS-R Labeling: material grouping (deactivated in 4.0)
MM,MARA,INHBR,Gross contents,INHBR,MENG13,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MENG13; data_element=INHBR; description=Gross contents
MM,MARA,CMETH,Quantity Conversion Method,OIB_CMETH,OIB_CMETH,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=OIB_CMETH; data_element=OIB_CMETH; description=Quantity Conversion Method
MM,MARA,CUOBF,Internal object number,CUOBM,CUOBJ,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CUOBJ; data_element=CUOBM; description=Internal object number
MM,MARA,KOSCH,Product allocation determination procedure,KOSCH,KOSCH,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=KOSCH; data_element=KOSCH; description=Product allocation determination procedure
MM,MARA,SPROF,Pricing profile for variants,SPROF,SPROF,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=SPROF; data_element=SPROF; description=Pricing profile for variants
MM,MARA,NRFHG,Material qualifies for discount in kind,NRFHG,NRFHG,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=NRFHG; data_element=NRFHG; description=Material qualifies for discount in kind
MM,MARA,SAITY,Rollout in a Season,SAITY,SAITY,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=SAITY; data_element=SAITY; description=Rollout in a Season
MM,MARA,IHIVI,Indicator: Highly Viscous,ADGE_IHIVI,X,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=X; data_element=ADGE_IHIVI; description=Indicator: Highly Viscous
MM,MARA,ILOOS,Indicator: In Bulk/Liquid,ADGE_ILOOS,X,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=X; data_element=ADGE_ILOOS; description=Indicator: In Bulk/Liquid
MM,MARA,KZGVH,Packaging Material is Closed Packaging,KZGVH,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=KZGVH; description=Packaging Material is Closed Packaging
MM,MARA,XGCHP,Approved Batch Record Required,XGCHP,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=XGCHP; description=Approved Batch Record Required
MM,MARA,KZEFF,Assign effectivity parameter values/ override change numbers,CC_MTEFF,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=CC_MTEFF; description=Assign effectivity parameter values/ override change numbers
MM,MARA,COMPL,Material completion level,CSCP_COMP_LVL,CSCP_COMP_LVL,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CSCP_COMP_LVL; data_element=CSCP_COMP_LVL; description=Material completion level
MM,MARA,RDMHD,Rounding rule for calculation of SLED,RDMHD,RDMHD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=RDMHD; data_element=RDMHD; description=Rounding rule for calculation of SLED
MM,MARA,PRZUS,Indicator: Product composition printed on packaging,PRZUS,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=PRZUS; description=Indicator: Product composition printed on packaging
MM,MARA,BFLME,Generic Material with Logistical Variants,BFLME,BFLME,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=BFLME; data_element=BFLME; description=Generic Material with Logistical Variants
MM,MARA,CMREL,Relevant for Configuration Management,DE_CM_RELEVANCE_FLAG,DO_CM_RELEVANCE_FLAG,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DO_CM_RELEVANCE_FLAG; data_element=DE_CM_RELEVANCE_FLAG; description=Relevant for Configuration Management
MM,MARA,BBTYP,Assortment List Type,BBTYP,BBTYP,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=BBTYP; data_element=BBTYP; description=Assortment List Type
MM,MARA,GDS_RELEVANT,Indicator: Global Data Synchronization-Relevant,GDS_RELEVANT,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=GDS_RELEVANT; description=Indicator: Global Data Synchronization-Relevant
MM,MARA,WEORA,Acceptance At Origin,WEORA,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=WEORA; description=Acceptance At Origin
MM,MARA,HUTYP_DFLT,Standard HU Type,CIFHUTYPDF,CHAR4,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CHAR4; data_element=CIFHUTYPDF; description=Standard HU Type
MM,MARA,PILFERABLE,Pilferable,CIFPILFRBL,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=CIFPILFRBL; description=Pilferable
MM,MARA,WHSTC,Warehouse Storage Condition,CIFWHSTC,CHAR2,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CHAR2; data_element=CIFWHSTC; description=Warehouse Storage Condition
MM,MARA,HNDLCODE,Handling Indicator,CIFHDLCODE,CHAR4,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CHAR4; data_element=CIFHDLCODE; description=Handling Indicator
MM,MARA,TARE_VAR,Variable Tare Weight,CIFTAREVAR,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=CIFTAREVAR; description=Variable Tare Weight
MM,MARA,MAXC,Maximum Allowed Capacity of Packaging Material,CIFMAXC,DECV15_3,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DECV15_3; data_element=CIFMAXC; description=Maximum Allowed Capacity of Packaging Material
MM,MARA,MAXL,Maximum Packing Length of Packaging Material,CIFMAXL,CIFQUAN15,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CIFQUAN15; data_element=CIFMAXL; description=Maximum Packing Length of Packaging Material
MM,MARA,MAXB,Maximum Packing Width of Packaging Material,CIFMAXB,CIFQUAN15,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CIFQUAN15; data_element=CIFMAXB; description=Maximum Packing Width of Packaging Material
MM,MARA,MAXH,Maximum Packing Height of Packaging Material,CIFMAXH,CIFQUAN15,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CIFQUAN15; data_element=CIFMAXH; description=Maximum Packing Height of Packaging Material
MM,MARA,QQTIME,Quarantine Period,CIFQQTIME,,unmapped,true,medium,description_table_context,source=sap_remaining_unmapped; module=MM; data_element=CIFQQTIME; description=Quarantine Period
MM,MARA,QQTIMEUOM,Time Unit for Quarantine Period,CIFQQTIMEUOM,MEINS,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MEINS; data_element=CIFQQTIMEUOM; description=Time Unit for Quarantine Period
MM,MARA,QGRP,Quality Inspection Group,CIFQGRP,CIFQGRP,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CIFQGRP; data_element=CIFQGRP; description=Quality Inspection Group
MM,MARA,PS_SMARTFORM,Form Name,CIFPSSFNAME,TDSFNAME,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=TDSFNAME; data_element=CIFPSSFNAME; description=Form Name
MM,MARA,CWQPROC,EWM CW: Catch Weight Profile for Entering CW Quantity,CIFCWQPROC,CIFCWQPROC,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CIFCWQPROC; data_element=CIFCWQPROC; description=EWM CW: Catch Weight Profile for Entering CW Quantity
MM,MARA,CWQTOLGR,Catch Weight Tolerance Group,CIFCWQTOLGR,CIFCWQTOLGR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CIFCWQTOLGR; data_element=CIFCWQTOLGR; description=Catch Weight Tolerance Group
MM,MARA,ADPROF,Adjustment Profile,CIFADPROF,/SCWM/DO_MEDI_APROF,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=/SCWM/DO_MEDI_APROF; data_element=CIFADPROF; description=Adjustment Profile
MM,MARA,COMMODITY,Commodity,TBA_STOEFFCHEN,TBA_STOEFFCHEN,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=TBA_STOEFFCHEN; data_element=TBA_STOEFFCHEN; description=Commodity
MM,MARA,ANIMAL_ORIGIN,Indicator: Contains Non-Textile Parts of Animal Origin,WRF_ANIMAL_ORIGIN_FLAG,WRF_ANIMAL_ORIGIN_FLAG,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=WRF_ANIMAL_ORIGIN_FLAG; data_element=WRF_ANIMAL_ORIGIN_FLAG; description=Indicator: Contains Non-Textile Parts of Animal Origin
MM,MARA,TEXTILE_COMP_IND,Indicator: New Textile Composition Function,WRF_TEXTL_COMP_IND,WRF_TEXTL_COMP_IND,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=WRF_TEXTL_COMP_IND; data_element=WRF_TEXTL_COMP_IND; description=Indicator: New Textile Composition Function
MM,MARA,CHML_CMPLNC_RLVNCE_IND,Chemical Compliance Relevance Indicator,CHML_CMPLNC_RLVNCE_IND,CHML_CMPLNC_RLVNCE_IND,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CHML_CMPLNC_RLVNCE_IND; data_element=CHML_CMPLNC_RLVNCE_IND; description=Chemical Compliance Relevance Indicator
MM,MARA,LOGISTICAL_MAT_CATEGORY,Category of a Logistical Material,DE_LOGISTICAL_MAT_CATEGORY,DO_LOGISTICAL_MAT_CATEGORY,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DO_LOGISTICAL_MAT_CATEGORY; data_element=DE_LOGISTICAL_MAT_CATEGORY; description=Category of a Logistical Material
MM,MARA,IDENTIFICATION_TAG_TYPE,Identification Tag Type,IDENTIFICATIONTAGTYPE,IDENTIFICATIONTAGTYPE,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=IDENTIFICATIONTAGTYPE; data_element=IDENTIFICATIONTAGTYPE; description=Identification Tag Type
MM,MARA,PRODUCTOID,Data element for OID of product,PRODUCT_OID,PRODUCT_OID,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=PRODUCT_OID; data_element=PRODUCT_OID; description=Data element for OID of product
MM,MARA,SGT_CSGR,Segmentation Structure,SGT_CSGR,SGT_CSGR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=SGT_CSGR; data_element=SGT_CSGR; description=Segmentation Structure
MM,MARA,SGT_COVSA,Segmentation Strategy,SGT_COVSA,SGT_COVS,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=SGT_COVS; data_element=SGT_COVSA; description=Segmentation Strategy
MM,MARA,SGT_SCOPE,Segmentation Strategy Scope,SGT_SCOPE,SGT_SCOPE,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=SGT_SCOPE; data_element=SGT_SCOPE; description=Segmentation Strategy Scope
MM,MARA,SGT_REL,Segmentation Relevant,SGT_REL,CHAR1,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CHAR1; data_element=SGT_REL; description=Segmentation Relevant
MM,MARA,ANP,ANP Code,J_1BANP,J_1BANP,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=J_1BANP; data_element=J_1BANP; description=ANP Code
MM,MARA,PSM_CODE,Code of Protected Species Management,WRF_PSM_CODE,WRF_PSM_CODE,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=WRF_PSM_CODE; data_element=WRF_PSM_CODE; description=Code of Protected Species Management
MM,MARA,FSH_MG_AT1,Fashion Information Field: 1,FSH_MG_ATTRIBUTE1,FSH_MG_ATTRIBUTE1,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=FSH_MG_ATTRIBUTE1; data_element=FSH_MG_ATTRIBUTE1; description=Fashion Information Field: 1
MM,MARA,FSH_MG_AT2,Fashion Information Field: 2,FSH_MG_ATTRIBUTE2,FSH_MG_ATTRIBUTE2,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=FSH_MG_ATTRIBUTE2; data_element=FSH_MG_ATTRIBUTE2; description=Fashion Information Field: 2
MM,MARA,FSH_MG_AT3,Fashion Information Field: 3,FSH_MG_ATTRIBUTE3,FSH_MG_ATTRIBUTE3,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=FSH_MG_ATTRIBUTE3; data_element=FSH_MG_ATTRIBUTE3; description=Fashion Information Field: 3
MM,MARA,DUMMY_PRD_INCL_EEW_PS,Dummy Field,PRD_INCL_EEW,PRD_INCL_EEW,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=PRD_INCL_EEW; data_element=PRD_INCL_EEW; description=Dummy Field
MM,MARA,SCM_MATURITY_DUR,Maturation Time,/SAPAPO/MATURITY_DUR,TSTRDURAG,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=TSTRDURAG; data_element=/SAPAPO/MATURITY_DUR; description=Maturation Time
MM,MARA,SCM_PUOM,Preferred Alternative UoM for Warehouse Operations,/SCWM/DE_PUOM,MEINS,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MEINS; data_element=/SCWM/DE_PUOM; description=Preferred Alternative UoM for Warehouse Operations
MM,MARA,PROD_SHAPE,Product Shape,/SAPAPO/PROD_SHAPE,/SAPAPO/PROD_SHAPE,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=/SAPAPO/PROD_SHAPE; data_element=/SAPAPO/PROD_SHAPE; description=Product Shape
MM,MARA,OVERHANG_TRESH,Overhang Threshold [%],/SAPAPO/OVERHANG_TRESH,DEC03_2,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DEC03_2; data_element=/SAPAPO/OVERHANG_TRESH; description=Overhang Threshold [%]
MM,MARA,BRIDGE_TRESH,Bridge Threshold [%],/SAPAPO/BRIDGE_TRESH,DEC03_2,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DEC03_2; data_element=/SAPAPO/BRIDGE_TRESH; description=Bridge Threshold [%]
MM,MARA,BRIDGE_MAX_SLOPE,Maximum Slope for Bridges [°],/SAPAPO/BRIDGE_MAX_SLOPE,DEC03_2,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DEC03_2; data_element=/SAPAPO/BRIDGE_MAX_SLOPE; description=Maximum Slope for Bridges [°]
MM,MARA,HEIGHT_NONFLAT,Absolute Height Threshold for Stacking on Non-Flat Surface,/SAPAPO/HEIGHT_NONFLAT,MENG13,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MENG13; data_element=/SAPAPO/HEIGHT_NONFLAT; description=Absolute Height Threshold for Stacking on Non-Flat Surface
MM,MARA,HEIGHT_NONFLAT_UOM,UoM of Abs. Height Threshold (Stacking on Non-Flat Surface),/SAPAPO/HEIGHT_NONFLAT_UOM,MEINS,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MEINS; data_element=/SAPAPO/HEIGHT_NONFLAT_UOM; description=UoM of Abs. Height Threshold (Stacking on Non-Flat Surface)
MM,MARA,SCM_KITCOMP,Product for Kit-to-Order,/SAPAPO/CMPKIT,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=/SAPAPO/CMPKIT; description=Product for Kit-to-Order
MM,MARA,SCM_PROD_PAOOPT,Product can be used for Procure-to-Order,/SAPAPO/PAOOPT,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=/SAPAPO/PAOOPT; description=Product can be used for Procure-to-Order
MM,MARA,SCM_BOD_DEPLVL,Carry Out Push Deployment from Supplier,/SAPAPO/BODDEPLVL,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=/SAPAPO/BODDEPLVL; description=Carry Out Push Deployment from Supplier
MM,MARA,SCM_RESTRICT_INVBAL,Inventory Balancing Not Allowed,/SAPAPO/RESTRICT_INVBAL,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=/SAPAPO/RESTRICT_INVBAL; description=Inventory Balancing Not Allowed
MM,MARA,SCM_EXCL_EXPEDITE,Exclude from Express Shipment,/SAPAPO/EXCLEXP,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=/SAPAPO/EXCLEXP; description=Exclude from Express Shipment
MM,MARA,NEWPROD_INDI,New Product,/SAPAPO/NEWPROD_INDI,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=/SAPAPO/NEWPROD_INDI; description=New Product
MM,MARA,INV_PLN_MODE,eSPP: Inventory Planning via External Tool,ESPP_INV_PLN_MODE,ESPP_INV_PLN_MODE,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=ESPP_INV_PLN_MODE; data_element=ESPP_INV_PLN_MODE; description=eSPP: Inventory Planning via External Tool
MM,MARA,FLAGCLASS,Configuration Relevance of Product,/SAPAPO/FLGCLASS,/SAPAPO/FLGCLASS,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=/SAPAPO/FLGCLASS; data_element=/SAPAPO/FLGCLASS; description=Configuration Relevance of Product
MM,MARA,/CWM/XCWMAT,Material Is Activated for CW,/CWM/XCWMAT,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=/CWM/XCWMAT; description=Material Is Activated for CW
MM,MARA,/CWM/TOLGR,Tolerance Group for CWM,/CWM/TOLGR,/CWM/TOLGR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=/CWM/TOLGR; data_element=/CWM/TOLGR; description=Tolerance Group for CWM
MM,MARA,/BEV1/LULEINH,Loading Units,/BEV1/LULEINH,/BEV1/LULEINH,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=/BEV1/LULEINH; data_element=/BEV1/LULEINH; description=Loading Units
MM,MARA,/BEV1/LULDEGRP,Loading Unit Group: IS Beverage,/BEV1/LULDEGRP,/BEV1/LULDEGRP,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=/BEV1/LULDEGRP; data_element=/BEV1/LULDEGRP; description=Loading Unit Group: IS Beverage
MM,MARA,/BEV1/NESTRUCCAT,Structure Category for Material Relationship,/BEV1/NESTRUC_CAT,/BEV1/NESTRUC_CAT,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=/BEV1/NESTRUC_CAT; data_element=/BEV1/NESTRUC_CAT; description=Structure Category for Material Relationship
MM,MARA,/DSD/SV_CNT_GRP,Counting Group,/DSD/SV_COUNT_GROUP,/DSD/SV_COUNT_GROUP,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=/DSD/SV_COUNT_GROUP; data_element=/DSD/SV_COUNT_GROUP; description=Counting Group
MM,MARA,/DSD/VC_GROUP,DSD Grouping,/DSD/VC_GROUP,/DSD/VC_GROUP,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=/DSD/VC_GROUP; data_element=/DSD/VC_GROUP; description=DSD Grouping
MM,MARA,/SAPMP/KADU,Cable Diameter,/SAPMP/KADU,/SAPMP/DURCHME,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=/SAPMP/DURCHME; data_element=/SAPMP/KADU; description=Cable Diameter
MM,MARA,/SAPMP/ABMEIN,Unit for Dimensions,/SAPMP/ABMEIN,MEINS,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MEINS; data_element=/SAPMP/ABMEIN; description=Unit for Dimensions
MM,MARA,/SAPMP/KADP,Cable Diameter Allowance in Percent,/SAPMP/KADP,/SAPMP/PROZENT,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=/SAPMP/PROZENT; data_element=/SAPMP/KADP; description=Cable Diameter Allowance in Percent
