wd_entity,wd_field,wd_type,wd_description
Person_DataType,Passport_ID_Data,Passport_Identifier_DataType,
Person_DataType,Personal_Preferences_Data,Personal_Preferences_DataType,
Organization_ReferenceType,Integration_ID_Reference,External_Integration_ID_Reference_DataType,
Position_Time_Type_ReferenceType,Time_Type_Description,string,Unique attribute name/description identifying a valid instance of Position Time Type.
Business_Site_Reference_DataType,Integration_ID_Reference,External_Integration_ID_Reference_DataType,Integration ID reference is used as a unique identifier for integratable objects in the Workday system.
Instant_Messenger_DataType,Instant_Messenger_Address,string,Instant Messenger Address.
Instant_Messenger_DataType,Instant_Messenger_Comment,string,Comment
Instant_Messenger_DataType,Instant_Messenger_Type_Reference,Instant_Messenger_Type_ReferenceType,
Instant_Messenger_DataType,Usage_Data,Communication_Method_Usage_DataType,
Instant_Messenger_Type_ReferenceType,Instant_Messenger_Provider,string,Unique attribute name/description identifying a valid instance of Instant Messenger Type.
Web_Address_DataType,Web_Address,string,Web address (Example: URL).
Web_Address_DataType,Web_Address_Comment,string,Comment
Web_Address_DataType,Usage_Data,Communication_Method_Usage_DataType,
Biographic_DataType,Country_Of_Birth_Reference,Country_Of_Birth_ReferenceType,"ISO Code identifying the country where the naming rules for this name are defined. Workday enables you to specify an ISO Code at the country level. Each customer can also define various rules around names, required fields for names, and labels for name fields at the Country level. http://en.wikipedia.org/wiki/ISO_3166-1_alpha-3"
Biographic_DataType,Place_Of_Birth,string,City or Place of Birth.
Biographic_DataType,Date_Of_Birth,date,Date of Birth.
Biographic_DataType,Gender_Reference,Gender_ReferenceType,Unique attribute name and description that identifies a valid instance of gender.
Biographic_DataType,Disability_Reference,Disability_ReferenceType,
Biographic_DataType,Uses_Tobacco,boolean,Specifies whether employee uses tobacco.
Country_Of_Birth_ReferenceType,Country_Reference,Country_ReferenceType,
Demographic_DataType,Marital_Status_Reference,Marital_Status_ReferenceType,
Demographic_DataType,Hispanic_or_Latino,boolean,A flag indicating Hispanic or Latino for EEO purposes.
Demographic_DataType,Ethnicity_Reference,Ethnicity_ReferenceType,
Demographic_DataType,Citizenship_Status_Reference,Citizenship_Status_ReferenceType,
Demographic_DataType,Nationality_Reference,Country_and_NationalityObjectType,Reference for the person's Country of Nationality
Demographic_DataType,Hukou_Region_Reference,Country_RegionObjectType,Country Region on the Hukou of the person. This field is only available for the country China and the person with citizenship status of China.
Demographic_DataType,Hukou_Subregion_Reference,Country_SubregionObjectType,Country Subregion on the Hukou of the person. This field is only available for the country China and the person with citizenship status of China.
Demographic_DataType,Hukou_Locality,string,Locality on the Hukou of the person. This field is only available for the country China and the person with citizenship status of China.
Demographic_DataType,Hukou_Postal_Code,string,Hukou postal code for the person. This field is only available for the country China and the person with citizenship status of China.
Demographic_DataType,Hukou_Type_Reference,Hukou_TypeObjectType,Hukou type on the Hukou of the person. This field is only available for the country China and the person with citizenship status of China.
Demographic_DataType,Native_Region_Reference,Country_RegionObjectType,The Native Region for the person.
Demographic_DataType,Personnel_File_Agency,string,Personnel File Agency is used in China to indicate where workers have their personnel file stored.
Demographic_DataType,Military_Service_Data,Military_Service_DataType,
Employee_Type_ReferenceType,Employee_Type_Description,string,Text attribute representing Description of an Employee Type.
External_Contact_DataType,Integration_ID_Data,External_Integration_ID_DataType,
External_Contact_DataType,External_Contact_Type,string,Text attribute identifying name of External Contact Type.
Contingent_Worker_Contract_Info_GetType,Contingent_Worker_Reference,Contingent_Worker_Reference_DataType,
Vendor_ReferenceType,Vendor_Name,string,Unique attribute name/description identifying a valid instance of Vendor (Business Entity).
Visa_Identifier_DataType,Visa_ID,string,Text attribute identifying Visa ID.
Visa_Identifier_DataType,Visa_Type_Reference,Visa_Type_ReferenceType,
Visa_Identifier_DataType,Country_Reference,Country_ReferenceType,
Visa_Identifier_DataType,Issued_Date,date,Date the Visa ID was issued.
Visa_Identifier_DataType,Expiration_Date,date,Date the Visa ID expires.
Visa_Identifier_DataType,Verification_Date,date,Date the Visa ID was verified.
Custom_Identifier_DataType,Custom_ID,string,Text attribute identifying Custom ID.
Custom_Identifier_DataType,Custom_ID_Type_Reference,Custom_ID_Type_ReferenceType,
Custom_Identifier_DataType,Issued_Date,date,Date the Custom ID was issued.
Custom_Identifier_DataType,Expiration_Date,date,Date the Custom ID expires.
Custom_Identifier_DataType,Organization_Reference,Organization_ReferenceType,
Custom_Identifier_DataType,Custom_Description,string,Custom Description of the Custom ID.
Government_Identifier_DataType,Government_ID,string,Text attribute identifying Government ID.
Government_Identifier_DataType,Government_ID_Type_Reference,Government_ID_Type_ReferenceType,
Government_Identifier_DataType,Country_Reference,Country_ReferenceType,
Government_Identifier_DataType,Issued_Date,date,Date the Government ID was issued.
Government_Identifier_DataType,Expiration_Date,date,Date the Government ID expires.
Government_Identifier_DataType,Verification_Date,date,Date the Government ID was verified.
License_Identifier_DataType,License_ID,string,Text attribute identifying License ID.
License_Identifier_DataType,License_Type_Reference,License_Type_ReferenceType,
License_Identifier_DataType,License_Class,string,Text attribute identifying License Class.
License_Identifier_DataType,Issued_Date,date,Date the License ID was issued.
