concept_id,system,object_name,field_name,category,object_description,field_description,note
account.id,Workday,CR_DIM_COMPANIES_CHANGES_MDS,ID,HR,,CR_DIM_COMPANIES_CHANGES_MDS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_COMPANIES_CHANGES_MDS Total,,HR,,CR_DIM_COMPANIES_CHANGES_MDS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_COMPANIES_MDS,ID,HR,,CR_DIM_COMPANIES_MDS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_COMPANIES_MDS Total,,HR,,CR_DIM_COMPANIES_MDS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_CONTINGENT_WORKER_CONTRACT,ID,HR,,CR_DIM_CONTINGENT_WORKER_CONTRACT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_CONTINGENT_WORKER_CONTRACT Total,,HR,,CR_DIM_CONTINGENT_WORKER_CONTRACT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_COST_CENTER,ID,HR,,CR_DIM_COST_CENTER HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
cost_center.code,Workday,CR_DIM_COST_CENTER Total,,HR,,CR_DIM_COST_CENTER Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_CUSTOM_DEPARTMENT,ID,HR,,CR_DIM_CUSTOM_DEPARTMENT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_CUSTOM_DEPARTMENT Total,,HR,,CR_DIM_CUSTOM_DEPARTMENT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
absence.start_date,Workday,CR_DIM_DATE_KPI,date_id,HR,,CR_DIM_DATE_KPI HRDH datahub: int,Materialized from weak_canonical_candidate; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_DATE_KPI Total,,HR,,CR_DIM_DATE_KPI Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_DEPARTMENT,ID,HR,,CR_DIM_DEPARTMENT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_DEPARTMENT Total,,HR,,CR_DIM_DEPARTMENT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE,ID,HR,,CR_DIM_EMPLOYEE HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE Total,,HR,,CR_DIM_EMPLOYEE Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_ADDRESS_EVENTS,ID,HR,,CR_DIM_EMPLOYEE_ADDRESS_EVENTS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
account.industry,Workday,CR_DIM_EMPLOYEE_ADDRESS_EVENTS Total,,HR,,CR_DIM_EMPLOYEE_ADDRESS_EVENTS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_CONTRACT,ID,HR,,CR_DIM_EMPLOYEE_CONTRACT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE_CONTRACT Total,,HR,,CR_DIM_EMPLOYEE_CONTRACT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_CONTRACT_EVENTS,ID,HR,,CR_DIM_EMPLOYEE_CONTRACT_EVENTS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE_CONTRACT_EVENTS Total,,HR,,CR_DIM_EMPLOYEE_CONTRACT_EVENTS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_DAYFORCE_DEPARTMENT_EVENTS,ID,HR,,CR_DIM_EMPLOYEE_DAYFORCE_DEPARTMENT_EVENTS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
employee.department,Workday,CR_DIM_EMPLOYEE_DAYFORCE_DEPARTMENT_EVENTS Total,,HR,,CR_DIM_EMPLOYEE_DAYFORCE_DEPARTMENT_EVENTS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_JOB_EVENTS,ID,HR,,CR_DIM_EMPLOYEE_JOB_EVENTS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE_JOB_EVENTS Total,,HR,,CR_DIM_EMPLOYEE_JOB_EVENTS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_KPI,ID,HR,,CR_DIM_EMPLOYEE_KPI HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE_KPI Total,,HR,,CR_DIM_EMPLOYEE_KPI Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_MANAGER_EVENTS,ID,HR,,CR_DIM_EMPLOYEE_MANAGER_EVENTS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE_MANAGER_EVENTS Total,,HR,,CR_DIM_EMPLOYEE_MANAGER_EVENTS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_ORG_EVENTS,ID,HR,,CR_DIM_EMPLOYEE_ORG_EVENTS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE_ORG_EVENTS Total,,HR,,CR_DIM_EMPLOYEE_ORG_EVENTS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_PAYMENT_ELECTIONS,ID,HR,,CR_DIM_EMPLOYEE_PAYMENT_ELECTIONS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE_PAYMENT_ELECTIONS Total,,HR,,CR_DIM_EMPLOYEE_PAYMENT_ELECTIONS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_STAFFING_EVENTS,ID,HR,,CR_DIM_EMPLOYEE_STAFFING_EVENTS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE_STAFFING_EVENTS Total,,HR,,CR_DIM_EMPLOYEE_STAFFING_EVENTS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_WORK_SCHEDULES,ID,HR,,CR_DIM_EMPLOYEE_WORK_SCHEDULES HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE_WORK_SCHEDULES Total,,HR,,CR_DIM_EMPLOYEE_WORK_SCHEDULES Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EOS_DL,ID,HR,,CR_DIM_EOS_DL HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EOS_DL Total,,HR,,CR_DIM_EOS_DL Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EVENT_CLASSIFICATION,ID,HR,,CR_DIM_EVENT_CLASSIFICATION HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EVENT_CLASSIFICATION Total,,HR,,CR_DIM_EVENT_CLASSIFICATION Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EXTERNAL_PAYROLL_MAPPING,ID,HR,,CR_DIM_EXTERNAL_PAYROLL_MAPPING HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EXTERNAL_PAYROLL_MAPPING Total,,HR,,CR_DIM_EXTERNAL_PAYROLL_MAPPING Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS,ID,HR,,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS Total,,HR,,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS_bk_ts_04032025,ID,HR,,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS_bk_ts_04032025 HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS_bk_ts_04032025 Total,,HR,,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS_bk_ts_04032025 Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS_fh_20250423,ID,HR,,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS_fh_20250423 HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS_fh_20250423 Total,,HR,,CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS_fh_20250423 Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_GBL_0000_CERIDIAN_EXTERNAL_PAYSLIP,ID,HR,,CR_DIM_GBL_0000_CERIDIAN_EXTERNAL_PAYSLIP HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_GBL_0000_CERIDIAN_EXTERNAL_PAYSLIP Total,,HR,,CR_DIM_GBL_0000_CERIDIAN_EXTERNAL_PAYSLIP Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_GBL_0000_CERIDIAN_PAYGROUP_CALENDAR,ID,HR,,CR_DIM_GBL_0000_CERIDIAN_PAYGROUP_CALENDAR HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_GBL_0000_CERIDIAN_PAYGROUP_CALENDAR Total,,HR,,CR_DIM_GBL_0000_CERIDIAN_PAYGROUP_CALENDAR Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_GBL_0000_SAGE_EXTERNAL_PAYSLIP,ID,HR,,CR_DIM_GBL_0000_SAGE_EXTERNAL_PAYSLIP HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_GBL_0000_SAGE_EXTERNAL_PAYSLIP Total,,HR,,CR_DIM_GBL_0000_SAGE_EXTERNAL_PAYSLIP Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_GBL_0000_SAGE_EXTERNAL_PAYSLIP_OLD,ID,HR,,CR_DIM_GBL_0000_SAGE_EXTERNAL_PAYSLIP_OLD HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_GBL_0000_SAGE_EXTERNAL_PAYSLIP_OLD Total,,HR,,CR_DIM_GBL_0000_SAGE_EXTERNAL_PAYSLIP_OLD Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_GBL_0000_SAGE_EXTERNAL_TIMESLIPS,ID,HR,,CR_DIM_GBL_0000_SAGE_EXTERNAL_TIMESLIPS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
