concept_id,system,object_name,field_name,category,object_description,field_description,note
invoice.amount,Workday,CR_DIM_UNION_MEMBERSHIP Total,,HR,,CR_DIM_UNION_MEMBERSHIP Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_UNION_MEMBERSHIP_HISTORY,ID,HR,,CR_DIM_UNION_MEMBERSHIP_HISTORY HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_UNION_MEMBERSHIP_HISTORY Total,,HR,,CR_DIM_UNION_MEMBERSHIP_HISTORY Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_UNION_MEMBERSHIP_HISTORY_fh_20250511,ID,HR,,CR_DIM_UNION_MEMBERSHIP_HISTORY_fh_20250511 HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_UNION_MEMBERSHIP_HISTORY_fh_20250511 Total,,HR,,CR_DIM_UNION_MEMBERSHIP_HISTORY_fh_20250511 Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_WD_COMPANY_ORG,ID,HR,,CR_DIM_WD_COMPANY_ORG HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_WD_COMPANY_ORG Total,,HR,,CR_DIM_WD_COMPANY_ORG Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_WORKDAY_PUBLIC_HOLIDAYS,ID,HR,,CR_DIM_WORKDAY_PUBLIC_HOLIDAYS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_WORKDAY_PUBLIC_HOLIDAYS Total,,HR,,CR_DIM_WORKDAY_PUBLIC_HOLIDAYS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_WORKER_ADDRESSES,ID,HR,,CR_DIM_WORKER_ADDRESSES HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_WORKER_ADDRESSES Total,,HR,,CR_DIM_WORKER_ADDRESSES Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_WORKER_COLLECTIVE_AGREEMENT_EVENTS,ID,HR,,CR_DIM_WORKER_COLLECTIVE_AGREEMENT_EVENTS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_WORKER_COLLECTIVE_AGREEMENT_EVENTS Total,,HR,,CR_DIM_WORKER_COLLECTIVE_AGREEMENT_EVENTS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_WORKER_IDENTIFIERS,ID,HR,,CR_DIM_WORKER_IDENTIFIERS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
