wd_table,wd_column,wd_type,wd_max_length,wd_is_identity,wd_is_nullable,classification_bucket,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_knowledge_concept_id,top_knowledge_strength
CR_DIM_PERFORMANCE_TEMPLATE Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_PERIOD_SCHEDULE Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_POSITION Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_REQUISITION Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_RETIREMENT_BENEFIT_ELECTION Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_SAP_EE Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_SAP_ORG Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_TO Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_UNION_MEMBERSHIP Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_UNION_MEMBERSHIP_HISTORY Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_UNION_MEMBERSHIP_HISTORY_fh_20250511 Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_WD_COMPANY_ORG Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_WORKDAY_PUBLIC_HOLIDAYS Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_WORKER_ADDRESSES Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_WORKER_COLLECTIVE_AGREEMENT_EVENTS Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_WORKER_IDENTIFIERS Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_COMPANIES Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_COMPANIES_MDS Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_COMPENSATION Total,,,,False,False,weak_canonical_candidate,,,absence.start_date,0.500,gross amount,0.550
CR_FCT_COMPENSATION_PROCESSING Total,,,,False,False,weak_canonical_candidate,,,absence.start_date,0.500,gross amount,0.550
CR_FCT_COMPENSATION_PROCESSING_STG_0000_PECI_STG_DAYFORCE_PILOT Total,,,,False,False,weak_canonical_candidate,,,absence.start_date,0.500,gross amount,0.550
CR_FCT_EMPLOYEE Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_EQUIFAX,ID_COMPANIES,int,4,False,False,weak_canonical_candidate,,,absence.start_date,0.500,activity id,0.550
CR_FCT_EQUIFAX Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_EXTERNAL_PAYROLL_ELECTIONS Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_EXTERNAL_PAYROLL_ELECTIONS_PROCESSING Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_EXTERNAL_PAYROLL_OTP Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_EXTERNAL_PAYROLL_OTP_fh_20250318 Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_EXTERNAL_PAYROLL_OTP_PROCESSING Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_IAM_AD_ACCOUNT Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_IAM_AD_ACCOUNT_CURRENT Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_IAM_AD_ACCOUNT_DELTA Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_KPI Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_LOA Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_LOA_PROCESSING Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_FCT_PERFORMANCE_TEMPLATE Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
